date,diary_entry
23.09.2023,Hello

22.02.,Hello
30.01.2024,"Hello, this is an entry."
30.01.2024,This is another entry
30.01.2024,"This is just gibberish. Dingle Dangle, yippiptituh, yippititah."
22.05.,Timey Whimey
4.2.,Tech Basics 
04.05.,Hellooo
04.12.,Hello
30.01.2024,This really did work. I can do it. I will pass the exam!
30.01.,I will pass the exam
30.01.24,"Hello, this is a diary entry."
4.1.24,Hellooo
01.02.2024,"I hope this will work out. But I got it, it will. "
14.05.2024,"This is working all right at the moment. I am watching takin Over The Asylum. Campbell Bain is a brilliant character. He is manic, but I want to be a bit more like that. "
23.04.,This is quite the nice day
23.03.2023,This is a nice day.
11.03.2024 ,"I think I can finish the app. It definitely needs some tweaking here and there, but the basic concept is working so far. "
